"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/12/2023","97,200.0","96,500.0","98,600.0","96,400.0","3.36M","1.25%"
"25/12/2023","96,000.0","94,900.0","96,200.0","94,800.0","2.02M","1.48%"
"22/12/2023","94,600.0","95,000.0","95,100.0","94,400.0","1.28M","-0.53%"
"21/12/2023","95,100.0","94,600.0","95,100.0","94,000.0","1.76M","0.42%"
"20/12/2023","94,700.0","94,300.0","95,000.0","94,100.0","1.35M","0.11%"
"19/12/2023","94,600.0","93,900.0","94,600.0","93,600.0","1.25M","0.64%"
"18/12/2023","94,000.0","95,900.0","96,200.0","93,700.0","2.27M","-2.29%"
"15/12/2023","96,200.0","96,200.0","96,300.0","95,000.0","1.47M","0.00%"
"14/12/2023","96,200.0","95,800.0","96,400.0","95,200.0","1.71M","1.05%"
"13/12/2023","95,200.0","97,400.0","97,400.0","95,200.0","2.15M","-1.65%"
"12/12/2023","96,800.0","95,400.0","96,800.0","95,300.0","4.08M","1.89%"
"11/12/2023","95,000.0","95,500.0","95,700.0","94,600.0","1.56M","0.85%"
"08/12/2023","94,200.0","94,300.0","95,100.0","93,500.0","1.75M","-0.11%"
"07/12/2023","94,300.0","95,100.0","95,300.0","92,800.0","3.76M","-0.74%"
"06/12/2023","95,000.0","95,000.0","95,400.0","94,100.0","1.22M","0.21%"
"05/12/2023","94,800.0","93,800.0","95,800.0","93,700.0","3.59M","1.28%"
"04/12/2023","93,600.0","92,600.0","94,000.0","92,600.0","3.46M","1.30%"
"01/12/2023","92,400.0","92,200.0","92,900.0","91,300.0","1.19M","0.54%"
"30/11/2023","91,900.0","91,400.0","93,700.0","91,300.0","1.98M","0.22%"
"29/11/2023","91,700.0","91,600.0","92,000.0","91,100.0","801.50K","0.66%"
"28/11/2023","91,100.0","90,800.0","91,900.0","89,900.0","1.09M","0.44%"
"27/11/2023","90,700.0","91,400.0","91,400.0","90,100.0","1.66M","-0.55%"
"24/11/2023","91,200.0","90,800.0","92,000.0","90,200.0","2.25M","0.44%"
"23/11/2023","90,800.0","93,300.0","93,700.0","90,800.0","2.17M","-2.37%"
"22/11/2023","93,000.0","91,900.0","93,100.0","91,900.0","3.27M","1.20%"
"21/11/2023","91,900.0","92,000.0","92,000.0","90,700.0","1.46M","1.32%"
"20/11/2023","90,700.0","90,100.0","92,600.0","89,100.0","1.66M","-0.33%"
"17/11/2023","91,000.0","93,400.0","93,500.0","90,600.0","3.57M","-2.15%"
"16/11/2023","93,000.0","92,200.0","93,000.0","91,600.0","1.91M","0.65%"
"15/11/2023","92,400.0","93,700.0","93,800.0","92,000.0","2.42M","-0.22%"
"14/11/2023","92,600.0","92,000.0","93,400.0","91,300.0","2.00M","1.31%"
"13/11/2023","91,400.0","91,600.0","92,000.0","90,500.0","1.53M","-0.11%"
"10/11/2023","91,500.0","91,500.0","92,700.0","91,300.0","2.41M","-1.08%"
"09/11/2023","92,500.0","92,000.0","93,300.0","91,800.0","2.11M","-0.11%"
"08/11/2023","92,600.0","88,200.0","92,600.0","88,000.0","2.94M","4.87%"
"07/11/2023","88,300.0","88,500.0","88,800.0","87,900.0","1.34M","-0.23%"
"06/11/2023","88,500.0","88,200.0","88,900.0","87,800.0","1.21M","1.72%"
"03/11/2023","87,000.0","89,000.0","89,200.0","87,000.0","4.84M","-2.25%"
"02/11/2023","89,000.0","86,400.0","89,000.0","85,900.0","2.20M","4.22%"
"01/11/2023","85,400.0","84,300.0","85,400.0","82,600.0","2.18M","2.89%"
"31/10/2023","83,000.0","85,100.0","85,300.0","83,000.0","3.09M","-2.35%"
"30/10/2023","85,000.0","87,000.0","87,100.0","85,000.0","1.87M","-2.30%"
"27/10/2023","87,000.0","87,500.0","88,000.0","86,300.0","2.03M","0.23%"
"26/10/2023","86,800.0","88,300.0","89,900.0","86,000.0","5.91M","-4.51%"
"25/10/2023","90,900.0","91,800.0","92,700.0","90,900.0","1.84M","-1.20%"
"24/10/2023","92,000.0","92,400.0","92,400.0","90,800.0","1.61M","1.10%"
"23/10/2023","91,000.0","93,800.0","93,800.0","90,800.0","1.97M","-2.05%"
"20/10/2023","92,900.0","92,500.0","93,000.0","90,100.0","2.86M","0.98%"
"19/10/2023","92,000.0","94,000.0","94,300.0","92,000.0","3.03M","-1.08%"
"18/10/2023","93,000.0","94,900.0","94,900.0","91,000.0","6.14M","-0.11%"
"17/10/2023","93,100.0","97,800.0","97,800.0","93,100.0","2.42M","-3.82%"
"16/10/2023","96,800.0","96,800.0","98,900.0","96,300.0","4.97M","0.73%"
"13/10/2023","96,100.0","96,000.0","96,300.0","95,300.0","2.36M","-0.31%"
"12/10/2023","96,400.0","97,000.0","97,800.0","96,000.0","1.88M","-0.62%"
"11/10/2023","97,000.0","95,900.0","98,000.0","95,900.0","2.36M","0.73%"
"10/10/2023","96,300.0","96,500.0","97,200.0","95,400.0","3.26M","0.73%"
"09/10/2023","95,600.0","92,400.0","95,600.0","92,200.0","3.66M","3.13%"
"06/10/2023","92,700.0","91,500.0","92,800.0","91,000.0","1.15M","1.20%"
"05/10/2023","91,600.0","92,800.0","93,300.0","91,600.0","1.37M","-0.97%"
"04/10/2023","92,500.0","91,300.0","93,400.0","91,300.0","1.59M","0.33%"
"03/10/2023","92,200.0","92,200.0","93,500.0","91,500.0","2.01M","-1.07%"
"02/10/2023","93,200.0","93,400.0","93,800.0","92,000.0","1.14M","0.43%"
"29/09/2023","92,800.0","94,000.0","94,900.0","92,800.0","1.64M","-1.28%"
"28/09/2023","94,000.0","94,100.0","94,300.0","91,400.0","1.76M","-0.32%"
"27/09/2023","94,300.0","93,900.0","94,300.0","90,400.0","4.51M","0.86%"
"26/09/2023","93,500.0","94,200.0","95,500.0","93,100.0","2.15M","-0.85%"
"25/09/2023","94,300.0","97,000.0","97,600.0","94,300.0","2.10M","-2.48%"
"22/09/2023","96,700.0","95,100.0","97,000.0","92,600.0","6.86M","-0.10%"
"21/09/2023","96,800.0","98,500.0","98,900.0","96,300.0","3.42M","-1.73%"
"20/09/2023","98,500.0","98,800.0","99,700.0","98,500.0","2.44M","0.10%"
"19/09/2023","98,400.0","96,800.0","98,400.0","95,900.0","3.58M","1.55%"
"18/09/2023","96,900.0","96,900.0","96,900.0","95,700.0","2.03M","-0.62%"
"15/09/2023","97,500.0","96,000.0","97,800.0","95,300.0","2.13M","1.67%"
"14/09/2023","95,900.0","98,000.0","98,000.0","95,500.0","2.32M","-2.14%"
"13/09/2023","98,000.0","98,900.0","99,000.0","97,400.0","2.89M","-0.91%"
"12/09/2023","98,900.0","97,400.0","98,900.0","97,400.0","2.68M","1.54%"
"11/09/2023","97,400.0","98,700.0","99,500.0","95,300.0","5.15M","-0.20%"
"08/09/2023","97,600.0","97,500.0","98,500.0","97,000.0","2.12M","-0.31%"
"07/09/2023","97,900.0","99,000.0","100,800.0","97,600.0","3.25M","-1.11%"
"06/09/2023","99,000.0","97,100.0","99,000.0","96,300.0","2.49M","2.27%"
"05/09/2023","96,800.0","97,100.0","98,700.0","96,800.0","1.44M","0.10%"
"31/08/2023","96,700.0","96,600.0","97,500.0","96,100.0","1.40M","0.10%"
"30/08/2023","96,600.0","93,200.0","98,200.0","93,100.0","2.36M","3.21%"
"29/08/2023","93,600.0","94,000.0","94,000.0","92,800.0","1.55M","-0.43%"
"28/08/2023","94,000.0","92,000.0","94,300.0","91,000.0","2.95M","3.75%"
"25/08/2023","90,600.0","89,500.0","91,000.0","89,100.0","2.79M","0.67%"
"24/08/2023","90,000.0","85,500.0","90,100.0","85,100.0","5.25M","4.05%"
"23/08/2023","86,500.0","86,400.0","86,800.0","84,700.0","1.42M","0.00%"
"22/08/2023","86,500.0","86,300.0","86,500.0","83,000.0","2.33M","0.70%"
"21/08/2023","85,900.0","85,900.0","86,700.0","85,500.0","2.45M","0.47%"
"18/08/2023","85,500.0","85,600.0","87,900.0","84,300.0","3.94M","-0.58%"
"17/08/2023","86,000.0","85,000.0","87,200.0","85,000.0","3.69M","1.06%"
"16/08/2023","85,100.0","83,200.0","85,200.0","83,200.0","2.60M","1.31%"
"15/08/2023","84,000.0","82,600.0","84,300.0","81,500.0","1.68M","1.69%"
"14/08/2023","82,600.0","82,100.0","83,200.0","82,000.0","1.01M","0.73%"
"11/08/2023","82,000.0","82,000.0","83,000.0","81,500.0","1.14M","-0.24%"
"10/08/2023","82,200.0","83,100.0","83,300.0","82,200.0","1.34M","-1.08%"
"09/08/2023","83,100.0","84,000.0","84,700.0","83,000.0","982.70K","-1.31%"
"08/08/2023","84,200.0","84,000.0","84,600.0","83,800.0","636.00K","-0.36%"
"07/08/2023","84,500.0","83,600.0","84,500.0","83,300.0","752.50K","1.44%"
"04/08/2023","83,300.0","84,000.0","84,500.0","83,300.0","1.62M","-0.48%"
"03/08/2023","83,700.0","83,800.0","84,200.0","82,900.0","907.90K","0.24%"
"02/08/2023","83,500.0","84,500.0","84,800.0","83,500.0","996.30K","-1.18%"
"01/08/2023","84,500.0","85,600.0","86,300.0","84,500.0","1.29M","-1.29%"
"31/07/2023","85,600.0","84,700.0","85,800.0","84,400.0","1.47M","1.42%"
"28/07/2023","84,400.0","83,500.0","84,400.0","83,100.0","898.40K","0.84%"
"27/07/2023","83,700.0","82,800.0","84,400.0","82,800.0","1.42M","1.21%"
"26/07/2023","82,700.0","81,200.0","82,700.0","81,100.0","1.27M","1.72%"
"25/07/2023","81,300.0","81,000.0","82,200.0","81,000.0","1.06M","0.37%"
"24/07/2023","81,000.0","81,000.0","81,300.0","80,600.0","1.17M","0.00%"
"21/07/2023","81,000.0","79,700.0","81,000.0","79,600.0","1.27M","0.87%"
"20/07/2023","80,300.0","78,600.0","81,300.0","78,500.0","2.29M","2.29%"
"19/07/2023","78,500.0","78,500.0","78,900.0","78,300.0","708.60K","-0.25%"
"18/07/2023","78,700.0","79,000.0","79,000.0","78,100.0","718.30K","-0.38%"
"17/07/2023","79,000.0","79,000.0","79,200.0","78,500.0","1.15M","0.89%"
"14/07/2023","78,300.0","76,900.0","78,300.0","76,100.0","2.82M","3.30%"
"13/07/2023","75,800.0","75,800.0","75,800.0","75,400.0","1.25M","0.66%"
"12/07/2023","75,300.0","75,000.0","75,700.0","74,900.0","904.90K","0.40%"
"11/07/2023","75,000.0","75,300.0","75,400.0","75,000.0","1.09M","-0.40%"
"10/07/2023","75,300.0","75,300.0","75,900.0","74,900.0","1.15M","0.00%"
